_id,video_id,publishedAt,channelId,title,description,thumbnails_default_url,thumbnails_default_width,thumbnails_default_height,thumbnails_medium_url,thumbnails_medium_width,thumbnails_medium_height,thumbnails_high_url,thumbnails_high_width,thumbnails_high_height,liveBroadcastContent,publishTime,Code,viewCount,InteractionScore,Username,likeCount_unwinded,id_unwinded,commentCount_unwinded,favoriteCount_unwinded
66b63379ccc3aeac4d043ff0,6X1KM6ypSTs,2011-06-08T20:30:42Z,UClS8JBF9v5Yy8G8Gav49RTg,Antonine wall cottages | June2011 | between Stirling and glasgow,Contact direct from http://www.stirlingonvideo.co.uk/page-details.aspx?PageID=180 The cottages are elegantly and comfortably ...,https://i.ytimg.com/vi/6X1KM6ypSTs/default.jpg,120,90,https://i.ytimg.com/vi/6X1KM6ypSTs/mqdefault.jpg,320,180,https://i.ytimg.com/vi/6X1KM6ypSTs/hqdefault.jpg,480,360,none,2011-06-08 20:30:42,YT.0027,2765,0.000240765,YT.Auth.0027,1,6X1KM6ypSTs,1,0
66b63379ccc3aeac4d043fee,L-q7_SV4FAU,2009-10-18T19:40:37Z,UCqnUU9as0z6M5KP8btGn0vA,"Antonine Wall near Bonnybridge, Scotland",,https://i.ytimg.com/vi/L-q7_SV4FAU/default.jpg,120,90,https://i.ytimg.com/vi/L-q7_SV4FAU/mqdefault.jpg,320,180,https://i.ytimg.com/vi/L-q7_SV4FAU/hqdefault.jpg,480,360,none,2009-10-18 19:40:37,YT.0011,643,0.00005599,YT.Auth.0007,1,L-q7_SV4FAU,0,0
66b63379ccc3aeac4d043ff5,H1Fa_H7kRMM,2016-03-21T20:57:33Z,UCDnrHfrRc7QxXIQjM7aPK5A,The Antonine Wall,I was delighted a few years ago to discover that there were still substantial remains of the Antonine Wall to be seen. Further north ...,https://i.ytimg.com/vi/H1Fa_H7kRMM/default.jpg,120,90,https://i.ytimg.com/vi/H1Fa_H7kRMM/mqdefault.jpg,320,180,https://i.ytimg.com/vi/H1Fa_H7kRMM/hqdefault.jpg,480,360,none,2016-03-21 20:57:33,YT.0057,10642,0.000926664,YT.Auth.0056,151,H1Fa_H7kRMM,32,0
66b63379ccc3aeac4d043ff8,xdxxJtVk0do,2009-07-02T09:02:31Z,UCqnUU9as0z6M5KP8btGn0vA,"The Antonine Wall, Scotland","The Antonine Wall was the northernmost frontier of the Roman 'occupation. Construction was begun in 138 AD, during the reign of ...",https://i.ytimg.com/vi/xdxxJtVk0do/default.jpg,120,90,https://i.ytimg.com/vi/xdxxJtVk0do/mqdefault.jpg,320,180,https://i.ytimg.com/vi/xdxxJtVk0do/hqdefault.jpg,480,360,none,2009-07-02 09:02:31,YT.0007,1653,0.000143937,YT.Auth.0007,2,xdxxJtVk0do,2,0
66b63379ccc3aeac4d043ff9,whrgf_S3Rpo,2009-12-10T09:24:12Z,UCqQEbaS5TSYGLawkESQTc9A,The Antonine Wall in Scotland (ar),The Antonine Wall in Scotland is the northernmost frontier monument of the Roman Empire. In 2008 this archaeological ...,https://i.ytimg.com/vi/whrgf_S3Rpo/default.jpg,120,90,https://i.ytimg.com/vi/whrgf_S3Rpo/mqdefault.jpg,320,180,https://i.ytimg.com/vi/whrgf_S3Rpo/hqdefault.jpg,480,360,none,2009-12-10 09:24:12,YT.0013,308,0.000026819,YT.Auth.0013,1,whrgf_S3Rpo,0,0
66b63379ccc3aeac4d043ffd,GK3AIUpnE9Q,2011-03-21T21:13:26Z,UCqnUU9as0z6M5KP8btGn0vA,"At Rough Castle, Antonine Wall, Scotland",This is one of the best preserved sections of the (Roman) Antonine Wall which ran for 37 miles coast to coast across southern ...,https://i.ytimg.com/vi/GK3AIUpnE9Q/default.jpg,120,90,https://i.ytimg.com/vi/GK3AIUpnE9Q/mqdefault.jpg,320,180,https://i.ytimg.com/vi/GK3AIUpnE9Q/hqdefault.jpg,480,360,none,2011-03-21 21:13:26,YT.0025,94,0.000008185153038,YT.Auth.0007,0,GK3AIUpnE9Q,0,0
66b63379ccc3aeac4d044001,whQBqtbDG9U,2014-06-26T08:27:43Z,UC3LcUCoNtcuqMEoZZBQmOBg,John Muir - 034,"Adam Frost CyArk talking about the laser scanning technology used to create a 3D model of John Muir's Birthplace in Dunbar, ...",https://i.ytimg.com/vi/whQBqtbDG9U/default.jpg,120,90,https://i.ytimg.com/vi/whQBqtbDG9U/mqdefault.jpg,320,180,https://i.ytimg.com/vi/whQBqtbDG9U/hqdefault.jpg,480,360,none,2014-06-26 08:27:43,YT.0041,109,0.00000949129448,YT.Auth.0039,0,whQBqtbDG9U,0,0
66b63379ccc3aeac4d044007,i5p4VavAbsM,2009-02-20T11:00:28Z,UCTiX9Qpivty3hzsacVeNqBQ,antoine wall ride,,https://i.ytimg.com/vi/i5p4VavAbsM/default.jpg,120,90,https://i.ytimg.com/vi/i5p4VavAbsM/mqdefault.jpg,320,180,https://i.ytimg.com/vi/i5p4VavAbsM/hqdefault.jpg,480,360,none,2009-02-20 11:00:28,YT.0005,212,0.00001846,YT.Auth.0005,0,i5p4VavAbsM,0,0
66b63379ccc3aeac4d04400e,SijKJPRPrDs,2012-01-06T10:10:21Z,UCjdGUB_zwkT4xoqiNWUyOLg,Roamin near Oxford,A wench from Flavia Caesariensis meets a Roman Military Tribune who has strayed in mufti far from his Northern Borders of the ...,https://i.ytimg.com/vi/SijKJPRPrDs/default.jpg,120,90,https://i.ytimg.com/vi/SijKJPRPrDs/mqdefault.jpg,320,180,https://i.ytimg.com/vi/SijKJPRPrDs/hqdefault.jpg,480,360,none,2012-01-06 10:10:21,YT.0029,29,0.000002525206788,YT.Auth.0029,1,SijKJPRPrDs,0,0
66b63379ccc3aeac4d04400f,jF3pw7qLwno,2012-12-04T14:47:16Z,UCwaji2gKt9roPgSqaQSjSzA,"At Rough Castle, Antonine Wall, Scotland",List of All UNESCO Heritage Sites in USA ! Mesa Verde National Park Yellowstone National Park Everglades National Park Grand ...,https://i.ytimg.com/vi/jF3pw7qLwno/default.jpg,120,90,https://i.ytimg.com/vi/jF3pw7qLwno/mqdefault.jpg,320,180,https://i.ytimg.com/vi/jF3pw7qLwno/hqdefault.jpg,480,360,none,2012-12-04 14:47:16,YT.0032,45,0.000003918424327,YT.Auth.0032,0,jF3pw7qLwno,0,0
